"Game Title","User Rating",age_group_id,Price,platform_id,special_device_id,developer_publisher_id,release_year_id,genre_id,multiplayer_id,"Game Length (Hours)",game_quality_id,"User Review Text",game_mode_id,"Min Number of Players"
"Grand Theft Auto V",36.4,1,41.41,1,1,1,1,1,1,55.3,1,"Solid game, but too many bugs.",1,1
"The Sims 4",38.3,2,57.56,1,1,2,1,2,2,34.6,2,"Solid game, but too many bugs.",1,3
Minecraft,26.8,3,44.93,1,2,3,2,1,2,13.9,3,"Great game, but the graphics could be better.",1,5
"Bioshock Infinite",38.4,1,48.29,2,2,4,1,3,1,41.9,4,"Solid game, but the graphics could be better.",2,4
"Half-Life: Alyx",30.1,2,55.49,3,2,5,3,4,2,13.2,5,"Great game, but too many bugs.",1,1
"Grand Theft Auto V",38.6,2,51.73,4,1,6,4,4,2,48.8,6,"Solid game, but the graphics could be better.",1,4
"Sid Meierâ€™s Civilization VI",33.1,2,46.44,2,1,1,5,5,1,36.9,7,"Solid game, but the gameplay is amazing.",2,3
"Just Dance 2024",32.3,3,36.92,5,1,7,2,6,1,52.1,8,"Disappointing game, but the gameplay is amazing.",1,3
"Sid Meierâ€™s Civilization VI",26.7,1,22.2,5,1,8,6,7,1,56.4,9,"Great game, but the gameplay is amazing.",2,10
"1000-Piece Puzzle",23.9,4,20.09,1,1,9,7,3,2,46,3,"Solid game, but the graphics could be better.",1,5
"Spelunky 2",29.3,2,27.76,2,1,6,4,1,1,57,10,"Amazing game, but the gameplay is amazing.",1,1
"Street Fighter V",37.4,1,58.01,3,1,5,6,7,2,29.2,11,"Solid game, but too many bugs.",1,5
"Street Fighter V",28.2,4,42.13,1,2,10,8,2,2,20.6,12,"Great game, but too many bugs.",1,10
"Fall Guys",43,3,50.53,5,2,11,9,6,2,55.6,2,"Great game, but too many bugs.",1,5
"The Sims 4",17.6,3,21.71,1,2,12,1,8,2,27.5,1,"Solid game, but the gameplay is amazing.",1,4
"Rocket League",28.6,4,52.91,3,1,13,2,9,1,7,2,"Solid game, but the gameplay is amazing.",1,2
"The Elder Scrolls V: Skyrim",32.4,1,32.8,1,1,13,10,5,1,55.5,13,"Disappointing game, but the gameplay is amazing.",1,6
"Among Us",18.7,3,20.81,2,1,14,1,4,2,23.9,3,"Disappointing game, but the graphics could be better.",2,3
"Fall Guys",29.7,3,40.94,2,1,5,9,8,1,25.8,11,"Disappointing game, but the gameplay is amazing.",2,2
"Stardew Valley",36.5,4,48.29,2,2,15,11,2,1,41.9,14,"Solid game, but the gameplay is amazing.",2,1
"Spelunky 2",30.7,1,45.94,1,2,16,11,1,1,20.9,15,"Great game, but the graphics could be better.",1,10
"Call of Duty: Modern Warfare 2",26.3,1,32.3,1,1,1,12,6,2,31.5,16,"Disappointing game, but the gameplay is amazing.",1,3
"The Legend of Zelda: Breath of the Wild",31.4,2,29.05,3,1,17,7,1,1,55.6,14,"Amazing game, but too many bugs.",1,5
"Tekken 7",26.8,3,38.03,1,2,18,3,5,2,21.7,11,"Solid game, but the gameplay is amazing.",2,3
"Pillars of Eternity II: Deadfire",26.2,1,23.59,4,2,19,11,10,2,49.4,3,"Solid game, but too many bugs.",1,10
"Animal Crossing: New Horizons",27.7,3,49.11,4,2,20,2,1,2,15.7,17,"Solid game, but the gameplay is amazing.",1,5
Hades,35.8,4,39.41,5,1,18,8,3,2,49.5,18,"Great game, but the graphics could be better.",2,10
"Mario Kart 8 Deluxe",37.3,1,42.53,1,1,21,11,5,1,54.9,19,"Amazing game, but the graphics could be better.",1,10
"Tekken 7",43.1,2,52.81,1,2,17,1,6,2,53.5,13,"Disappointing game, but the graphics could be better.",1,4
"Overwatch 2",31.8,1,54.21,3,2,22,10,2,1,16.1,20,"Disappointing game, but too many bugs.",2,4
"Mario Kart 8 Deluxe",35.3,4,43.23,5,2,23,12,1,1,51.1,21,"Great game, but too many bugs.",1,10
"Street Fighter V",31.6,1,45.25,2,2,24,13,10,2,27.2,22,"Disappointing game, but too many bugs.",2,6
Fortnite,32.7,4,32.73,5,2,11,13,9,1,53,23,"Great game, but the graphics could be better.",2,2
"PokÃ©mon Scarlet & Violet",29.5,1,53.12,1,1,25,2,10,1,12.8,3,"Amazing game, but too many bugs.",2,8
"Mario Kart 8 Deluxe",28.7,4,27.34,5,2,26,4,1,2,46.5,24,"Disappointing game, but too many bugs.",1,5
"Sid Meierâ€™s Civilization VI",30.2,1,45.46,3,1,27,5,1,1,26.4,2,"Solid game, but the gameplay is amazing.",1,5
"Overwatch 2",33,1,57.97,3,1,28,4,7,2,12.2,23,"Disappointing game, but the gameplay is amazing.",1,5
"Spelunky 2",36.4,2,35.69,3,2,29,7,7,2,56.9,20,"Great game, but too many bugs.",1,2
"The Elder Scrolls V: Skyrim",22.3,4,22.57,2,2,30,1,8,2,30.9,25,"Solid game, but too many bugs.",2,10
"Hitman 3",18.9,3,24.99,2,1,31,1,2,2,24,26,"Solid game, but the gameplay is amazing.",1,4
"Call of Duty: Modern Warfare 2",31.1,2,39.4,5,2,32,1,7,1,31.7,1,"Great game, but too many bugs.",2,4
"Tomb Raider (2013)",34.1,2,47.59,1,1,33,4,2,2,30.8,22,"Great game, but the graphics could be better.",1,6
"Half-Life: Alyx",28.7,3,25.85,4,1,34,12,7,2,48.1,27,"Great game, but too many bugs.",2,5
"Call of Duty: Modern Warfare 2",33.5,2,51.48,4,2,35,7,5,2,32.2,5,"Disappointing game, but the gameplay is amazing.",2,5
"Rocket League",32.5,2,34.34,3,2,36,12,8,1,55.8,28,"Solid game, but the graphics could be better.",1,2
"The Legend of Zelda: Breath of the Wild",39.8,1,53.29,2,1,37,10,10,1,49.3,29,"Amazing game, but too many bugs.",2,5
"Halo Infinite",30.6,4,34.17,4,1,17,3,4,1,38.6,23,"Solid game, but the gameplay is amazing.",2,10
"Stardew Valley",39.2,4,49.71,4,2,38,2,10,2,42.5,30,"Amazing game, but too many bugs.",2,6
Fortnite,38.6,3,47.89,5,1,20,5,5,2,53.4,31,"Solid game, but the graphics could be better.",1,6
"Spelunky 2",32.7,3,48.32,2,2,39,5,8,2,32.7,13,"Amazing game, but too many bugs.",1,7
Minecraft,29.9,3,34.71,2,2,20,9,9,1,42.3,32,"Solid game, but too many bugs.",2,7
"Among Us",27.5,1,54.59,5,1,1,12,1,1,6.6,33,"Disappointing game, but the gameplay is amazing.",1,7
"Halo Infinite",34.8,4,42.75,5,1,40,1,4,1,41.9,24,"Solid game, but the graphics could be better.",1,3
"Super Smash Bros. Ultimate",44.3,1,59.32,3,1,41,6,9,1,44.5,19,"Great game, but too many bugs.",1,6
"1000-Piece Puzzle",28.8,2,39.53,1,1,40,8,9,1,33.7,34,"Amazing game, but the gameplay is amazing.",1,4
"PokÃ©mon Scarlet & Violet",29.9,3,51.73,4,2,42,6,1,1,14.2,35,"Solid game, but the graphics could be better.",2,4
"Kingdom Hearts III",30.2,1,51.02,2,2,43,8,2,2,21.8,36,"Amazing game, but too many bugs.",2,6
"League of Legends",19.1,3,23.08,5,1,43,6,9,1,28.6,28,"Solid game, but the gameplay is amazing.",1,2
"Overwatch 2",14.4,3,25.33,4,1,44,11,6,2,5.9,19,"Disappointing game, but the gameplay is amazing.",1,4
"The Witcher 3: Wild Hunt",30.8,3,40.29,4,2,45,13,7,2,32.8,37,"Amazing game, but too many bugs.",1,4
"Fall Guys",17.6,4,23.81,1,2,46,4,7,1,13,3,"Disappointing game, but the gameplay is amazing.",2,7
"Super Smash Bros. Ultimate",28.9,1,33.56,1,2,29,14,10,2,38,26,"Disappointing game, but the graphics could be better.",1,1
"The Sims 4",30.6,3,39.26,3,1,9,8,4,2,42,38,"Great game, but the graphics could be better.",2,8
"Mario Kart 8 Deluxe",39.5,2,48.85,1,2,47,7,5,2,46.8,3,"Solid game, but the gameplay is amazing.",1,3
"Among Us",39.7,2,51.64,2,1,48,14,1,2,42.6,4,"Great game, but too many bugs.",1,8
